id,company_name,location,sector,near_term_status,near_term_target_year
1,Hamell Communications Ltd,Afeganistão,Serviços Profissionais,Metas definidas,2030
2,Attacq Limited,África do Sul,Imóveis,Metas definidas,2030
3,Balwin Properties,África do Sul,Construção Residencial,Metas definidas,2030
4,BDO África do Sul,África do Sul,Serviços Profissionais,Comprometido,Não Informado
5,Belgotex Floorcoverings (Pty) Ltd,África do Sul,Insumos de Construção,Compromisso removido,Não Informado
6,Bester Feed and Grain (Pty) Ltd,África do Sul,"Empresas, Distribuidoras, Serviços e Suprimentos Comerciais",Metas definidas,2030
7,Betterect (Pty) Ltd,África do Sul,Construção e Engenharia,Metas definidas,2030
8,Blue North Sustainability (Pty) Ltd,África do Sul,Software e Serviços,Metas definidas,2030
9,Brundtland Consulting,África do Sul,Serviços Profissionais,Metas definidas,2030
10,Datatec Limited,África do Sul,Software e Serviços,Metas definidas,2030
11,Delta Carbon,África do Sul,Serviços Profissionais,Metas definidas,2030
12,DH BROTHERS INDUSTRIES (PTY) LTD TRADING AS WILLOWTON GROUP,África do Sul,Processamento de Alimentos e Bebidas,Comprometido,Não Informado
13,Emira Property Fund Ltd,África do Sul,Imóveis,Metas definidas,2030
14,Equites Property Fund Limited,África do Sul,Imóveis,Metas definidas,2030
15,Extrupet,África do Sul,Produtos Químicos,Metas definidas,2030
16,Gold Fields,África do Sul,"Mineração - Outros (Minerais Raros, Metais Preciosos e Gemas)",Comprometido,Não Informado
17,Golden Era Packaging (Pty) Ltd,África do Sul,Recipientes e Embalagens,Comprometido,Não Informado
18,Growthpoint Properties,África do Sul,Imóveis,Compromisso removido,Não Informado
19,Harith General Partners,África do Sul,"Serviços Financeiros Especializados, Financiamento ao Consumidor e Corretoras de Seguros",Comprometido,Não Informado
20,Harmony Gold Mining Company Limited,África do Sul,"Mineração - Outros (Minerais Raros, Metais Preciosos e Gemas)",Metas definidas,2036
21,Hulamin,África do Sul,"Mineração - Ferro, Alumínio e Outros Metais",Metas definidas,2030
22,Impala Platinum Holdings Limited,África do Sul,"Mineração - Outros (Minerais Raros, Metais Preciosos e Gemas)",Comprometido,Não Informado
23,in2food (PTY) Ltd,África do Sul,Processamento de Alimentos e Bebidas,Comprometido,Não Informado
24,Lorbrand (Pty) Ltd,África do Sul,Construção e Engenharia,Metas definidas,2030
25,Manergy Iroko (Pty) Ltd,África do Sul,Serviços Profissionais,Metas definidas,2030
26,MTN Group Limited,África do Sul,Serviços de Telecomunicação,Metas definidas,2030
27,Nampak Limited,África do Sul,Recipientes e Embalagens,Compromisso removido,Não Informado
28,Naspers,África do Sul,"Bancos, Finanças Diversas e Seguros",Metas definidas,2028
29,Netcare Limited,África do Sul,"Tecnologia, Provedores e Serviços de Saúde",Metas definidas,2034
30,Pick n Pay,África do Sul,Varejo,Compromisso removido,Não Informado
31,Polyoak Packaging (Pty) Ltd,África do Sul,Recipientes e Embalagens,Comprometido,Não Informado
32,Safripol (Pty) LTD,África do Sul,Produtos Químicos,Comprometido,Não Informado
33,Sappi Limited,África do Sul,Produtos Florestais,Metas definidas,2030
34,Senwes Limited,África do Sul,Produção de Alimentos Agrícolas,Comprometido,Não Informado
35,Shoprite Holdings (Pty) Ltd,África do Sul,Varejo,Metas definidas,2030
36,Sibanye-Stillwater,África do Sul,"Mineração - Outros (Minerais Raros, Metais Preciosos e Gemas)",Metas definidas,2025
37,SILOSTRAT,África do Sul,Produção de Alimentos Agrícolas,Comprometido,Não Informado
38,Spier,África do Sul,Processamento de Alimentos e Bebidas,Comprometido,Não Informado
39,Stellenbosch Vineyards,África do Sul,Processamento de Alimentos e Bebidas,Metas definidas,2030
40,Telkom SA SOC Limited,África do Sul,Serviços de Telecomunicação,Metas definidas,2033
41,Three Streams Smokehouse (Pty) Ltd,África do Sul,Processamento de Alimentos e Bebidas,Metas definidas,2030
42,Vedanta Zinc International,África do Sul,"Mineração - Ferro, Alumínio e Outros Metais",Comprometido,Não Informado
43,Vodacom Group Limited,África do Sul,Serviços de Telecomunicação,Comprometido,Não Informado
44,Woolworths Holdings Ltd,África do Sul,Varejo,Metas definidas,2030
45,Studio XAG,Albânia,Serviços Profissionais,Metas definidas,2030
46,abcr GmbH,Alemanha,Produtos Químicos,Metas definidas,2030
47,ABOUT YOU,Alemanha,Varejo,Metas definidas,2025
48,Accurids GmbH,Alemanha,Software e Serviços,Metas definidas,2030
49,Actico Group GmbH,Alemanha,Software e Serviços,Metas definidas,2030
50,Adidas AG,Alemanha,"Têxtil, Vestuário, Calçados e Artigos de Luxo",Metas definidas,2030
51,Adragos Pharma GmbH,Alemanha,"Produtos Farmacêuticos, Biotecnologia e Ciências Biológicas",Comprometido,Não Informado
52,Adva Optical Networking SE,Alemanha,Hardware e Equipamento de Tecnologia,Metas definidas,2032
53,Albert & Hummel GmbH,Alemanha,Equipamento e Maquinário Elétrico,Metas definidas,2030
54,Albrecht Elektrotechnik GmbH,Alemanha,Equipamento e Maquinário Elétrico,Metas definidas,2030
55,Alcedis GmbH,Alemanha,"Tecnologia, Provedores e Serviços de Saúde",Metas definidas,2030
56,ALDI Einkauf SE & Co. oHG,Alemanha,Varejo,Metas definidas,2030
57,ALDI Nord Group,Alemanha,Varejo de Alimentos e Bens Essenciais,Comprometido,Não Informado
58,Alfred Kärcher SE & Co. KG,Alemanha,Equipamento e Maquinário Elétrico,Metas definidas,2030
59,Alfred Ritter GmbH & Co. KG,Alemanha,Processamento de Alimentos e Bebidas,Metas definidas,2030
60,All for One Group SE,Alemanha,Software e Serviços,Comprometido,Não Informado
61,All4Labels Global Packaging Group,Alemanha,Recipientes e Embalagens,Comprometido,Não Informado
62,Allianz Investment Management SE,Alemanha,"Bancos, Finanças Diversas e Seguros",Compromisso removido,Não Informado
63,Alstria office REIT-AG,Alemanha,Imóveis,Metas definidas,2030
